"Periodo(MMM DD, AAAA)";"Unidad de Valor Real (UVR)";"Archivo"
"2016/09/20";243,2294;"UVR_Unidad de valor real"
"2016/09/21";243,2035;"UVR_Unidad de valor real"
"2016/09/22";243,1775;"UVR_Unidad de valor real"
"2016/09/23";243,1515;"UVR_Unidad de valor real"
"2016/09/24";243,1255;"UVR_Unidad de valor real"
"2016/09/25";243,0995;"UVR_Unidad de valor real"
"2016/09/26";243,0736;"UVR_Unidad de valor real"
"2016/09/27";243,0476;"UVR_Unidad de valor real"
"2016/09/28";243,0216;"UVR_Unidad de valor real"
"2016/09/29";242,9957;"UVR_Unidad de valor real"
"2016/09/30";242,9697;"UVR_Unidad de valor real"
"2016/10/01";242,9438;"UVR_Unidad de valor real"
"2016/10/02";242,9178;"UVR_Unidad de valor real"
"2016/10/03";242,8919;"UVR_Unidad de valor real"
"2016/10/04";242,8659;"UVR_Unidad de valor real"
"2016/10/05";242,84;"UVR_Unidad de valor real"
"2016/10/06";242,814;"UVR_Unidad de valor real"
"2016/10/07";242,7881;"UVR_Unidad de valor real"
"2016/10/08";242,7621;"UVR_Unidad de valor real"
"2016/10/09";242,7362;"UVR_Unidad de valor real"
"2016/10/10";242,7103;"UVR_Unidad de valor real"
"2016/10/11";242,6843;"UVR_Unidad de valor real"
"2016/10/12";242,6584;"UVR_Unidad de valor real"
"2016/10/13";242,6325;"UVR_Unidad de valor real"
"2016/10/14";242,6066;"UVR_Unidad de valor real"
"2016/10/15";242,5806;"UVR_Unidad de valor real"
"2016/10/16";242,5767;"UVR_Unidad de valor real"
"2016/10/17";242,5728;"UVR_Unidad de valor real"
